frame_no,status,elapsed_ms,path
34,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540064226657500_0034_10000010000000000.jpg
35,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540064431200100_0035_10000010000000000.jpg
36,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540064609455100_0036_10000010000000000.jpg
37,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540064824873200_0037_10000010000000000.jpg
38,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540065006720100_0038_10000010000000000.jpg
39,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540065230068400_0039_10000010000000000.jpg
40,normal,3,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540065417108100_0040_10000010000000000.jpg
41,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540065613711300_0041_10000010000000000.jpg
42,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540065813186400_0042_10000010000000000.jpg
43,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540066031534900_0043_10000010000000000.jpg
44,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540066212945000_0044_10000010000000000.jpg
45,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540066418733500_0045_10000010000000000.jpg
46,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540066615588600_0046_10000010000000000.jpg
47,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540066829676500_0047_10000010000000000.jpg
48,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540067011627300_0048_10000010000000000.jpg
49,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540067218446700_0049_10000010000000000.jpg
50,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540067409234000_0050_10000010000000000.jpg
51,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540067620482300_0051_10000010000000000.jpg
52,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540067811356500_0052_10000010000000000.jpg
53,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540068016981300_0053_10000010000000000.jpg
54,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540068211591200_0054_10000010000000000.jpg
55,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540068418866800_0055_10000010000000000.jpg
56,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540068600448400_0056_10000010000000000.jpg
57,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540068808829600_0057_10000010000000000.jpg
58,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540069014418600_0058_10000010000000000.jpg
59,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540069218858500_0059_10000010000000000.jpg
60,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540069435662100_0060_10000010000000000.jpg
61,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540069593066600_0061_10000010000000000.jpg
62,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540069817688100_0062_10000010000000000.jpg
63,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540070011834700_0063_10000010000000000.jpg
64,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540070226830200_0064_10000010000000000.jpg
65,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540070415474500_0065_10000010000000000.jpg
66,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540070629156400_0066_10000010000000000.jpg
67,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540070819923500_0067_10000010000000000.jpg
68,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540071012369900_0068_10000010000000000.jpg
69,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540071200797900_0069_10000010000000000.jpg
70,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540071417486100_0070_10000010000000000.jpg
71,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540071616224700_0071_10000010000000000.jpg
72,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540071822563200_0072_10000010000000000.jpg
73,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540072018330400_0073_10000010000000000.jpg
74,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540072232651200_0074_10000010000000000.jpg
75,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540072430321900_0075_10000010000000000.jpg
76,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540072600620100_0076_10000010000000000.jpg
77,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540072826874700_0077_10000010000000000.jpg
78,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540073014299200_0078_10000010000000000.jpg
79,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540073211750900_0079_10000010000000000.jpg
80,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540073418039600_0080_10000010000000000.jpg
81,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540073623345100_0081_10000010000000000.jpg
82,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540073821196600_0082_10000010000000000.jpg
83,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540074020293500_0083_10000010000000000.jpg
84,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540074219812800_0084_10000010000000000.jpg
85,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540074410221400_0085_10000010000000000.jpg
86,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540074597307000_0086_10000010000000000.jpg
87,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540074819475700_0087_10000010000000000.jpg
88,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540075025129300_0088_10000010000000000.jpg
89,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540075218744200_0089_10000010000000000.jpg
90,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540075422193800_0090_10000010000000000.jpg
91,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540075614419000_0091_10000010000000000.jpg
92,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540075827444800_0092_10000010000000000.jpg
93,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540076017924800_0093_10000010000000000.jpg
94,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540076218560700_0094_10000010000000000.jpg
95,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540076419520100_0095_10000010000000000.jpg
96,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540076641193400_0096_10000010000000000.jpg
97,normal,4,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540076844427600_0097_10000010000000000.jpg
98,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540077018988200_0098_10000010000000000.jpg
99,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540077224482800_0099_10000010000000000.jpg
100,normal,5,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540077432627900_0100_10000010000000000.jpg
101,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540077621191200_0101_10000010000000000.jpg
102,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540077831599700_0102_10000010000000000.jpg
103,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540078013884800_0103_10000010000000000.jpg
104,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540078226313200_0104_10000010000000000.jpg
105,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540078417382700_0105_10000010000000000.jpg
106,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540078610384600_0106_10000010000000000.jpg
107,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540078831372100_0107_10000010000000000.jpg
108,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540079062027800_0108_10000010000000000.jpg
109,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540079428532400_0109_10000010000000000.jpg
110,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540079625744000_0110_10000010000000000.jpg
111,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540079808849700_0111_10000010000000000.jpg
112,normal,10,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540080012319800_0112_10000010000000000.jpg
113,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540080216326600_0113_10000010000000000.jpg
114,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540080412465900_0114_10000010000000000.jpg
115,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540080627984800_0115_10000010000000000.jpg
116,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540080813243700_0116_10000010000000000.jpg
117,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540081016185200_0117_10000010000000000.jpg
118,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540081211852800_0118_10000010000000000.jpg
119,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540081447478100_0119_10000010000000000.jpg
120,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540081617484300_0120_10000010000000000.jpg
121,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540081818235800_0121_10000010000000000.jpg
122,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540082014932800_0122_10000010000000000.jpg
123,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540082212810500_0123_10000010000000000.jpg
124,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540082417260600_0124_10000010000000000.jpg
125,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540082614046200_0125_10000010000000000.jpg
126,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540082822123500_0126_10000010000000000.jpg
127,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540083017677000_0127_10000010000000000.jpg
128,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540083233161000_0128_10000010000000000.jpg
129,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540083433409000_0129_10000010000000000.jpg
130,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540083611310100_0130_10000010000000000.jpg
131,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540083810988700_0131_10000010000000000.jpg
132,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540084019019800_0132_10000010000000000.jpg
133,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540084210469800_0133_10000010000000000.jpg
134,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540084410701400_0134_10000010000000000.jpg
135,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540084608833600_0135_10000010000000000.jpg
136,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540084817702900_0136_10000010000000000.jpg
137,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540085035509600_0137_10000010000000000.jpg
138,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540085212729100_0138_10000010000000000.jpg
139,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540085432696200_0139_10000010000000000.jpg
140,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540085618658600_0140_10000010000000000.jpg
141,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540085827937500_0141_10000010000000000.jpg
142,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540086014790600_0142_10000010000000000.jpg
143,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540086217194900_0143_10000010000000000.jpg
144,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540086428472200_0144_10000010000000000.jpg
145,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540086612270800_0145_10000010000000000.jpg
146,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540086821514100_0146_10000010000000000.jpg
147,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540087032854200_0147_10000010000000000.jpg
148,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540087211614300_0148_10000010000000000.jpg
149,normal,11,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540087430543900_0149_10000010000000000.jpg
150,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540087612413200_0150_10000010000000000.jpg
151,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540087813315500_0151_10000010000000000.jpg
152,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540088042651500_0152_10000010000000000.jpg
153,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540088213139100_0153_10000010000000000.jpg
154,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540088428361900_0154_10000010000000000.jpg
155,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540088601094600_0155_10000010000000000.jpg
156,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540088814927400_0156_10000010000000000.jpg
157,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540089019970100_0157_10000010000000000.jpg
158,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540089213732600_0158_10000010000000000.jpg
159,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540089436305600_0159_10000010000000000.jpg
160,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540089614193200_0160_10000010000000000.jpg
161,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540089814431900_0161_10000010000000000.jpg
162,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540090050508400_0162_10000010000000000.jpg
163,normal,12,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540090412287800_0163_10000010000000000.jpg
164,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540090615970400_0164_10000010000000000.jpg
165,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540090813765300_0165_10000010000000000.jpg
166,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540091012439900_0166_10000010000000000.jpg
167,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540091217697200_0167_10000010000000000.jpg
168,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540091440851100_0168_10000010000000000.jpg
169,normal,10,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540091619614000_0169_10000010000000000.jpg
170,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540091816052700_0170_10000010000000000.jpg
171,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540092008148500_0171_10000010000000000.jpg
172,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540092218155300_0172_10000010000000000.jpg
173,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540092425734800_0173_10000010000000000.jpg
174,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540092613945900_0174_10000010000000000.jpg
175,normal,14,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540092829598400_0175_10000010000000000.jpg
176,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540093026763600_0176_10000010000000000.jpg
177,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540093231988400_0177_10000010000000000.jpg
178,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540093412118500_0178_10000010000000000.jpg
179,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540093624142800_0179_10000010000000000.jpg
180,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540093816529500_0180_10000010000000000.jpg
181,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540094004356000_0181_10000010000000000.jpg
182,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540094229696700_0182_10000010000000000.jpg
183,normal,10,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540094432461300_0183_10000010000000000.jpg
184,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540094627621800_0184_10000010000000000.jpg
185,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540094819378900_0185_10000010000000000.jpg
186,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540095020681000_0186_10000010000000000.jpg
187,normal,6,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540095217623700_0187_10000010000000000.jpg
188,normal,7,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540095431635900_0188_10000010000000000.jpg
189,normal,10,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540095629251900_0189_10000010000000000.jpg
190,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540095825781600_0190_10000010000000000.jpg
191,normal,8,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540096032051400_0191_10000010000000000.jpg
192,normal,9,D:\DS\VeleriaLab\V6\fronttop\test_processed\unexpected_person\RoboArm\normal\1751540096229018500_0192_10000010000000000.jpg
